model,epoch,max_epochs,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
CustomCNN,1,100,4.3017,0.0388,3.9366,0.075,
CustomCNN,2,100,4.0203,0.0693,3.7159,0.118,
CustomCNN,3,100,3.9021,0.0839,3.5249,0.1478,
CustomCNN,4,100,3.787,0.0964,3.4082,0.1624,
CustomCNN,5,100,3.6865,0.1106,3.262,0.193,
CustomCNN,6,100,3.5941,0.1245,3.1834,0.2002,
CustomCNN,7,100,3.5115,0.1358,3.026,0.2282,
CustomCNN,8,100,3.4379,0.1504,2.9131,0.2508,
CustomCNN,9,100,3.3568,0.1637,2.8112,0.283,
CustomCNN,10,100,3.29,0.176,2.8059,0.2736,
CustomCNN,11,100,3.1912,0.1946,2.7262,0.296,
CustomCNN,12,100,3.1116,0.2119,2.5997,0.3246,
CustomCNN,13,100,3.0383,0.2278,2.4523,0.352,
CustomCNN,14,100,2.9462,0.2467,2.5308,0.3384,
CustomCNN,15,100,2.8671,0.2601,2.3838,0.3662,
CustomCNN,16,100,2.7899,0.2792,2.3179,0.3796,
CustomCNN,17,100,2.7256,0.2937,2.203,0.41,
CustomCNN,18,100,2.669,0.3079,2.1894,0.4132,
CustomCNN,19,100,2.6037,0.32,2.2092,0.4122,
CustomCNN,20,100,2.5566,0.3347,2.0954,0.4258,
CustomCNN,21,100,2.5014,0.3448,2.0539,0.4478,
CustomCNN,22,100,2.4416,0.3581,1.9908,0.4576,
CustomCNN,23,100,2.3996,0.3656,1.992,0.4686,
CustomCNN,24,100,2.3568,0.3738,1.9331,0.4792,
CustomCNN,25,100,2.3268,0.3832,1.9238,0.4784,
CustomCNN,26,100,2.2967,0.393,1.8641,0.4932,
CustomCNN,27,100,2.2536,0.4013,1.8426,0.499,
CustomCNN,28,100,2.2193,0.4059,1.796,0.5098,
CustomCNN,29,100,2.2014,0.4115,1.7968,0.5058,
CustomCNN,30,100,2.1696,0.4233,1.7704,0.5162,
CustomCNN,31,100,2.1429,0.4262,1.7389,0.5202,
CustomCNN,32,100,2.1201,0.4335,1.7535,0.5158,
CustomCNN,33,100,2.0918,0.436,1.7626,0.5136,
CustomCNN,34,100,2.0709,0.4418,1.724,0.5242,
CustomCNN,35,100,2.0544,0.4464,1.7711,0.5104,
CustomCNN,36,100,2.0312,0.4512,1.6953,0.5224,
CustomCNN,37,100,2.0159,0.4553,1.6793,0.5392,
CustomCNN,38,100,1.9908,0.4627,1.6407,0.5438,
CustomCNN,39,100,1.9682,0.4669,1.6418,0.5544,
CustomCNN,40,100,1.9543,0.4692,1.6568,0.5444,
CustomCNN,41,100,1.9369,0.4754,1.669,0.5458,
CustomCNN,42,100,1.9199,0.4796,1.682,0.5416,
CustomCNN,43,100,1.8407,0.4963,1.564,0.5712,
CustomCNN,44,100,1.8156,0.5034,1.5738,0.5642,
CustomCNN,45,100,1.79,0.5097,1.5577,0.57,
CustomCNN,46,100,1.7731,0.5142,1.5156,0.5804,
CustomCNN,47,100,1.7765,0.5099,1.5305,0.5706,
CustomCNN,48,100,1.7541,0.5161,1.5222,0.5818,
CustomCNN,49,100,1.7554,0.5146,1.5138,0.587,
CustomCNN,50,100,1.737,0.5199,1.5136,0.5806,
CustomCNN,51,100,1.7366,0.5223,1.5074,0.5852,
CustomCNN,52,100,1.7311,0.5207,1.513,0.5824,
CustomCNN,53,100,1.712,0.5278,1.4871,0.59,
CustomCNN,54,100,1.7079,0.5255,1.4646,0.5982,
CustomCNN,55,100,1.7012,0.5308,1.4799,0.5946,
CustomCNN,56,100,1.6931,0.5306,1.4973,0.5904,
CustomCNN,57,100,1.6884,0.5316,1.4779,0.593,
CustomCNN,58,100,1.6842,0.5336,1.4732,0.5926,
CustomCNN,59,100,1.635,0.5467,1.4367,0.6022,
CustomCNN,60,100,1.6175,0.5479,1.4385,0.6008,
CustomCNN,61,100,1.615,0.5508,1.4392,0.5966,
CustomCNN,62,100,1.5972,0.5569,1.4367,0.6008,
CustomCNN,63,100,1.5991,0.5517,1.4352,0.6038,
CustomCNN,64,100,1.5868,0.5581,1.4449,0.5962,
CustomCNN,65,100,1.5819,0.5583,1.4192,0.6054,
CustomCNN,66,100,1.5798,0.5602,1.4092,0.6072,
CustomCNN,67,100,1.5735,0.5581,1.4198,0.6054,
CustomCNN,68,100,1.5726,0.5599,1.4127,0.6074,
CustomCNN,69,100,1.569,0.5607,1.414,0.6074,
CustomCNN,70,100,1.5587,0.563,1.4022,0.6158,
CustomCNN,71,100,1.5461,0.5657,1.3973,0.6114,
CustomCNN,72,100,1.5612,0.5624,1.405,0.6112,
CustomCNN,73,100,1.5441,0.5667,1.4008,0.613,
CustomCNN,74,100,1.5448,0.5683,1.3915,0.61,
CustomCNN,75,100,1.5325,0.5678,1.4007,0.611,
CustomCNN,76,100,1.5413,0.569,1.4082,0.6072,
CustomCNN,77,100,1.5333,0.5691,1.4029,0.6172,
CustomCNN,78,100,1.5215,0.5704,1.4032,0.6148,
CustomCNN,79,100,1.5009,0.5777,1.376,0.6206,
CustomCNN,80,100,1.5013,0.5784,1.3815,0.6178,
CustomCNN,81,100,1.4951,0.5789,1.3718,0.6236,
CustomCNN,82,100,1.4868,0.5814,1.3738,0.6176,
CustomCNN,83,100,1.4876,0.5806,1.3769,0.6194,
CustomCNN,84,100,1.4825,0.579,1.3736,0.6216,
CustomCNN,85,100,1.4806,0.58,1.371,0.6198,
CustomCNN,86,100,1.481,0.5808,1.3642,0.6218,
CustomCNN,87,100,1.4822,0.5837,1.3621,0.6202,
CustomCNN,88,100,1.4663,0.5882,1.3707,0.6196,
CustomCNN,89,100,1.4623,0.586,1.3676,0.6168,
ResNet-50,1,12,1.5158,0.6176,0.705,0.7866,
ResNet-50,2,12,0.5832,0.8242,0.5958,0.819,
ResNet-50,3,12,0.3832,0.8836,0.5764,0.8266,
ResNet-50,4,12,0.2764,0.9136,0.5977,0.825,
ResNet-50,5,12,0.2067,0.9353,0.6011,0.8328,
ResNet-50,6,12,0.1629,0.948,0.584,0.8372,
ResNet-50,7,12,0.1361,0.9583,0.63,0.8332,
